date,open,high,low,close,volume
2025-05-19,336.3,343.0,333.37,342.09,88869850
2025-05-20,347.87,354.9899,341.63,343.82,131715500
2025-05-21,344.43,347.35,332.2,334.62,102354800
2025-05-22,331.9,347.27,331.39,341.04,97113420
2025-05-23,337.92,343.18,333.21,339.34,84654820
2025-05-27,347.35,363.79,347.32,362.89,120146400
2025-05-28,364.84,365.0,355.91,356.9,91404310
2025-05-29,365.29,367.71,356.0,358.43,88545670
2025-05-30,355.52,363.68,345.29,346.46,123474900
2025-06-02,343.5,348.02,333.33,342.69,81873830
2025-06-03,346.595,355.4,343.04,344.27,99324540
2025-06-04,345.095,345.6,327.3308,332.05,98912080
2025-06-05,322.49,324.5499,273.21,284.7,292818700
2025-06-06,298.83,305.5,291.14,295.14,164747700
2025-06-09,285.955,309.83,281.85,308.58,140908900
2025-06-10,314.94,327.83,310.667,326.09,151256500
2025-06-11,334.395,335.5,322.5,326.43,122611400
2025-06-12,323.075,332.56,316.86,319.11,105127500
2025-06-13,313.97,332.99,313.3,325.31,128964300
2025-06-16,331.29,332.05,326.41,329.13,83925860
2025-06-17,326.09,327.26,314.74,316.35,88282670
2025-06-18,317.31,329.32,315.45,322.05,95137690
2025-06-20,327.95,332.36,317.78,322.16,108688000
2025-06-23,327.54,357.54,327.48,348.68,190716800
2025-06-24,356.17,356.26,340.44,340.47,114736200
2025-06-25,342.7,343.0,320.4,327.55,119845100
2025-06-26,324.61,331.05,323.61,325.78,80440910
2025-06-27,324.51,329.3393,317.495,323.63,89067050
2025-06-30,319.9,325.5799,316.6,317.66,76695080
2025-07-01,298.46,305.89,293.21,300.71,145085700
2025-07-02,312.63,316.832,303.82,315.65,119483700
2025-07-03,317.99,318.45,312.76,315.35,58042300
2025-07-07,291.37,296.15,288.7701,293.94,131177900
2025-07-08,297.0,304.0499,294.35,297.81,103246700
2025-07-09,297.55,300.15,293.55,295.88,75586770
2025-07-10,300.05,310.48,300.0,309.87,104365300
2025-07-11,307.89,314.09,305.65,313.51,79236440
2025-07-14,317.73,322.5986,312.67,316.9,78043430
2025-07-15,319.675,321.2,310.5,310.78,77556350
2025-07-16,312.8,323.5,312.62,321.67,97284790
2025-07-17,323.15,324.34,317.0601,319.41,73922870
2025-07-18,321.66,330.9,321.42,329.65,94254990
2025-07-21,334.4,338.0,326.88,328.49,75768800
2025-07-22,329.74,335.4098,321.55,332.11,77370370
2025-07-23,330.9,336.2,328.67,332.56,92553760
2025-07-24,310.0,310.15,300.41,305.3,156966000
2025-07-25,308.74,323.63,308.01,316.06,148227000
2025-07-28,318.45,330.49,315.69,325.59,112673800
2025-07-29,325.55,326.25,318.25,321.2,87358860
2025-07-30,322.18,324.4499,311.6164,319.04,83931940
2025-07-31,319.605,321.37,306.1,308.27,85270920
2025-08-01,306.205,309.31,297.82,302.63,89121450
2025-08-04,309.08,312.1186,303.0001,309.26,78683910
2025-08-05,308.95,312.4499,305.5,308.72,57961280
2025-08-06,307.89,320.47,306.9345,319.91,78523580
2025-08-07,319.79,322.4,316.16,322.27,66658670
2025-08-08,321.43,335.15,320.98,329.65,91200320
2025-08-11,335.0,346.64,334.15,339.03,105320200
2025-08-12,345.0,345.26,332.94,340.84,80690110
2025-08-13,341.5,348.98,338.2,339.38,67838890
2025-08-14,335.76,340.4699,330.4,335.58,75000660
2025-08-15,337.655,339.3,327.02,330.56,74319790
2025-08-18,329.62,336.27,329.59,335.16,56956550
2025-08-19,335.79,340.55,327.85,329.31,75956000
2025-08-20,329.22,331.37,314.6,323.9,77481770
2025-08-21,322.08,324.9,318.68,320.11,55744450
2025-08-22,321.66,340.25,319.69,340.01,94016350
2025-08-25,338.9,349.53,335.03,346.6,86670040
2025-08-26,344.93,351.9,343.72,351.67,76651550
2025-08-27,351.94,355.39,349.156,349.6,65519010
2025-08-28,350.91,353.55,340.26,345.98,67903220
2025-08-29,347.23,348.7499,331.7,333.87,81145660
2025-09-02,328.23,333.33,325.6,329.36,58391950
2025-09-03,335.2,343.33,328.51,334.09,88733290
2025-09-04,336.15,338.89,331.48,338.53,60711030
2025-09-05,348.0,355.87,344.6801,350.84,108989800
2025-09-08,354.64,358.44,344.84,346.4,75208290
2025-09-09,348.44,350.77,343.82,346.97,53815990
2025-09-10,350.55,356.33,346.07,347.79,72121680
2025-09-11,350.17,368.99,347.6,368.81,103756000
2025-09-12,370.94,396.6899,370.24,395.94,168156400
2025-09-15,423.13,425.7,402.43,410.04,163823700
2025-09-16,414.495,423.25,411.43,421.62,104285700
2025-09-17,415.75,428.3121,409.67,425.86,106133500
2025-09-18,428.865,432.2199,416.56,416.85,90454510
2025-09-19,421.82,429.47,421.72,426.07,93131030
2025-09-22,431.11,444.98,429.13,434.21,97108780
2025-09-23,439.88,440.97,423.72,425.85,83422690
2025-09-24,429.83,444.21,429.0301,442.79,93133570
2025-09-25,435.24,435.35,419.08,423.39,96746430
2025-09-26,428.3,440.47,421.02,440.4,101628200
2025-09-29,444.35,450.98,439.5,443.21,79491510
2025-09-30,441.52,445.0,433.12,444.72,74357960
2025-10-01,443.8,462.29,440.75,459.46,98122290
2025-10-02,470.54,470.75,435.57,436.0,137009000
2025-10-03,443.285,446.77,416.575,429.83,133188200
2025-10-06,440.75,453.55,436.69,453.25,85324880
2025-10-07,447.82,452.68,432.4501,433.09,102296100
2025-10-08,437.57,441.33,425.23,438.69,71192130
2025-10-09,431.81,436.35,426.18,435.54,69339930
2025-10-10,436.54,443.13,411.45,413.49,112107900
2025-10-13,423.53,436.89,419.7,435.9,79552790
2025-10-14,426.79,434.2,417.86,429.24,72669440
2025-10-15,434.9,440.51,426.3301,435.15,71558190
2025-10-16,434.73,439.35,421.3101,428.75,77189890
2025-10-17,425.5,441.4558,423.6,439.31,89331580
2025-10-20,443.865,449.8,440.61,447.43,63718970
2025-10-21,445.755,449.3,442.05,442.6,54412170
2025-10-22,443.45,445.539,429.0,438.97,84023460
2025-10-23,420.0,449.3999,413.9,448.98,126709800
2025-10-24,446.83,451.68,430.17,433.72,94727770
2025-10-27,439.98,460.16,438.69,452.42,105867500
2025-10-28,454.775,467.0,451.6,460.55,80185670
2025-10-29,462.5,465.7,452.65,461.51,67983540
2025-10-30,451.05,455.0607,439.61,440.1,72447940
2025-10-31,446.75,458.0,443.6855,456.56,83135790
2025-11-03,455.99,474.07,453.8,468.37,84595240
2025-11-04,454.46,460.22,443.6,444.26,87756640
2025-11-05,452.05,466.3299,440.71,462.07,85573020
2025-11-06,461.96,467.45,435.09,445.91,109622900
2025-11-07,437.92,439.36,421.88,429.52,103471500
2025-11-10,439.6,449.6715,433.36,445.23,76515910
2025-11-11,439.4,442.49,432.36,439.62,60533240
2025-11-12,442.15,442.329,426.56,430.6,58513520
2025-11-13,423.13,424.5,396.34,401.99,118948000
2025-11-14,386.3,412.19,382.78,404.35,105506700
2025-11-17,398.74,423.96,398.74,408.92,102214300
2025-11-18,405.38,408.9,393.71,401.25,80688640
2025-11-19,406.18,411.78,398.5,403.99,72047700
2025-11-20,414.63,428.94,394.74,395.23,113548800
2025-11-21,402.32,402.8,383.76,391.09,100460600
2025-11-24,402.17,421.72,401.09,417.78,96806370
2025-11-25,414.42,420.48,405.95,419.4,71915620
2025-11-26,423.95,426.94,416.89,426.58,63463000
2025-11-28,426.59,432.93,426.2,430.17,36252860
2025-12-01,425.32,433.6599,425.29,430.14,57463550
2025-12-02,430.81,436.8,422.12,429.24,69336630
2025-12-03,432.1,447.92,431.11,446.74,87482960
2025-12-04,449.94,454.63,445.39,454.53,71906490
2025-12-05,453.03,458.87,451.66,455.0,56427520
2025-12-08,447.445,449.7463,435.25,439.58,69165750
2025-12-09,437.54,452.39,435.7,445.17,62367440
2025-12-10,446.065,456.88,443.61,451.45,63257480
2025-12-11,448.945,449.2699,440.33,446.89,55979490
2025-12-12,448.09,463.01,441.67,458.96,95656750
2025-12-15,469.44,481.7694,467.66,475.31,114542200
2025-12-16,472.21,491.5,465.83,489.88,107608100
2025-12-17,488.22,495.2799,466.2,467.26,106490400
2025-12-18,478.16,490.86,473.12,483.37,95168450
2025-12-19,488.12,490.49,474.72,481.2,103305400
2025-12-22,489.88,498.83,485.33,488.73,86916070
2025-12-23,489.395,491.97,482.84,485.56,58223630
2025-12-24,488.48,490.9,476.8,485.4,41285430
2025-12-26,485.23,489.09,473.82,475.19,58780660
2025-12-29,469.0,469.4,459.0,459.64,66263030
2025-12-30,461.09,463.12,453.83,454.43,59238460
2025-12-31,456.1,456.55,449.3,449.72,49077960
2026-01-02,457.8,458.34,435.3,438.07,85535410
2026-01-05,447.99,457.5499,444.57,451.67,67940840
2026-01-06,446.38,448.25,428.78,432.96,89093760
2026-01-07,435.9,438.37,431.29,431.41,59828790
2026-01-08,427.89,436.89,424.365,435.8,57041090
2026-01-09,435.945,449.05,430.39,445.01,67331460
2026-01-12,441.225,454.3,438.0,448.96,61649630
2026-01-13,450.2,451.81,443.95,447.2,53719210
2026-01-14,442.81,443.91,434.22,439.2,57259500
2026-01-15,441.125,445.36,437.65,438.57,49465810
2026-01-16,439.5,447.25,435.2601,437.5,60220550
2026-01-20,429.36,430.725,417.44,419.25,63187340
2026-01-21,421.66,438.2,419.6201,431.44,68123990
2026-01-22,435.16,449.5,432.6293,449.36,71546730
